Gm#,Date,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
127,Saturday Aug 26,WSN,,NYM,W,9,4,,77-50,1,up12.5,Gonzalez,Gsellman,,3:03,D,36761,+
128,Sunday Aug 27 (1),WSN,,NYM,L,5,6,,77-51,1,up12.0,Blevins,Blanton,Ramos,3:34,D,31904,-
129,Sunday Aug 27 (2),WSN,,NYM,W,5,4,,78-51,1,up12.0,Roark,Robles,Doolittle,3:21,N,20624,+
130,Monday Aug 28,WSN,,MIA,W,11,2,,79-51,1,up13.0,Scherzer,Urena,,3:06,N,20838,++
131,Tuesday Aug 29,WSN,,MIA,W,8,3,,80-51,1,up14.0,Jackson,Worley,,3:11,N,25924,+++
132,Wednesday Aug 30,WSN,,MIA,W,4,0,,81-51,1,up15.0,Strasburg,Conley,,2:36,D,25019,++++
133,Thursday Aug 31,WSN,@,MIL,L,3,6,,81-52,1,up15.0,Davies,Gonzalez,Knebel,2:50,N,26384,-
134,Friday Sep 1,WSN,@,MIL,L,0,1,,81-53,1,up15.0,Nelson,Roark,Knebel,2:39,N,40044,--
135,Saturday Sep 2,WSN,@,MIL,W,3,2,,82-53,1,up15.0,Madson,Hader,Doolittle,3:01,N,35341,+
136,Sunday Sep 3,WSN,@,MIL,L,2,7,,82-54,1,up15.0,Jeffress,Jackson,,2:49,D,36937,-
137,Monday Sep 4,WSN,@,MIA,W,7,2,,83-54,1,up16.0,Cole,Conley,,3:10,N,17349,+
138,Tuesday Sep 5,WSN,@,MIA,W,2,1,,84-54,1,up17.0,Strasburg,Despaigne,Doolittle,2:50,N,15364,++
139,Wednesday Sep 6,WSN,@,MIA,W,8,1,,85-54,1,up18.0,Gonzalez,Peters,,3:02,N,14390,+++
140,Thursday Sep 7,WSN,,PHI,W,4,3,,86-54,1,up19.0,Roark,Morgan,Doolittle,3:09,N,26267,++++
141,Friday Sep 8,WSN,,PHI,W,11,10,,87-54,1,up19.0,Scherzer,Thompson,Doolittle,3:27,N,29837,+++++
142,Saturday Sep 9,WSN,,PHI,L,4,5,,87-55,1,up19.0,Leiter,Jackson,Neris,3:23,N,35694,-
143,Sunday Sep 10,WSN,,PHI,W,3,2,,88-55,1,up20.0,Strasburg,Lively,Madson,2:16,D,32627,+
144,Tuesday Sep 12,WSN,,ATL,L,0,8,,88-56,1,up20.0,Teheran,Gonzalez,,2:57,N,22769,-
145,Wednesday Sep 13,WSN,,ATL,L,2,8,,88-57,1,up20.0,Gohara,Scherzer,,3:08,N,24850,--
146,Thursday Sep 14,WSN,,ATL,W,5,2,,89-57,1,up21.0,Roark,Foltynewicz,Doolittle,2:40,N,25192,+
147,Friday Sep 15,WSN,,LAD,L,0,7,,89-58,1,up21.0,Wood,Jackson,,3:09,N,37508,-
148,Saturday Sep 16,WSN,,LAD,L,2,3,,89-59,1,up20.0,Hill,Cole,Jansen,2:46,D,39387,--
149,Sunday Sep 17,WSN,,LAD,W,7,1,,90-59,1,up21.0,Strasburg,Stripling,,3:22,N,29155,+
150,Tuesday Sep 19,WSN,@,ATL,W,4,2,,91-59,1,up20.5,Scherzer,Gohara,Doolittle,3:01,N,26709,++
151,Wednesday Sep 20,WSN,@,ATL,W,7,3,,92-59,1,up20.5,Gonzalez,Ramirez,,2:51,N,25054,+++
152,Thursday Sep 21,WSN,@,ATL,L,2,3,,92-60,1,up20.0,Dickey,Roark,Vizcaino,2:18,N,32702,-
153,Friday Sep 22,WSN,@,NYM,L,6,7,,92-61,1,up20.0,Bradford,Blanton,Familia,3:02,N,28095,--
154,Saturday Sep 23,WSN,@,NYM,W,4,3,10,93-61,1,up20.0,Solis,Rhame,Doolittle,3:38,N,34455,+
155,Sunday Sep 24,WSN,@,NYM,W,3,2,,94-61,1,up21.0,Scherzer,deGrom,Kintzler,3:01,D,29057,++
156,Monday Sep 25,WSN,@,PHI,W,3,1,,95-61,1,up21.0,Cole,Nola,Doolittle,3:04,N,17026,+++
157,Tuesday Sep 26,WSN,@,PHI,L,1,4,,95-62,1,up21.0,Thompson,Gonzalez,Neris,2:59,N,16437,-
158,Wednesday Sep 27,WSN,@,PHI,L,5,7,,95-63,1,up21.0,Rios,Roark,Neris,3:53,N,17642,--
159,Thursday Sep 28,WSN,,PIT,W-wo,5,4,,96-63,1,up21.0,Doolittle,Hudson,,3:23,N,26380,+
160,Friday Sep 29,WSN,,PIT,W,6,1,,97-63,1,up21.0,Strasburg,Cole,,3:06,N,36339,++
161,Saturday Sep 30,WSN,,PIT,L,1,4,,97-64,1,up20.0,Kontos,Kintzler,Vazquez,2:56,N,32240,-
162,Sunday Oct 1,WSN,,PIT,L,8,11,,97-65,1,up20.0,Sanchez,Gonzalez,Kontos,4:22,D,35652,--
